Date,Description,Original Description,Category,Amount,Status
2023-02-24,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-40.18,Posted
2023-02-24,"Murphy USA","MURPHY EXPRESS           CHATTANOOGA  TN",Gas,-35.65,Posted
2023-02-24,"Sen Sushi & Hibachi Gril","SEN SUSHI & HIBACHI GRIL MARION       AR",Restaurants,-17.90,Posted
2023-02-24,"365 Retail Markets","365 Market  888 432-3299 TROY         MI",Fast Food,-7.64,Posted
2023-02-23,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********6AAK",Paycheck,467.37,Posted
2023-02-21,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-51.77,Posted
2023-02-21,"Love's Travel Stops","LOVE'S #793              MT JULIET    TN",Gas,-20.31,Posted
2023-02-21,"Speedway","Speedway4222 Ringgold Rd EAST RIDGE   TN",Gas,-20.10,Posted
2023-02-21,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-15.41,Posted
2023-02-21,"Speedway","Speedway  6121 Lee Hig   CHATTANOOGA  TN",Gas,-8.47,Posted
2023-02-21,"Smoothie King","LEVELUPSMOOTHIEKING08    855-466-5585 MA",Fast Food,-7.08,Posted
2023-02-21,"Smoothie King","LEVELUPSMOOTHIEKING89    855-466-5585 MA",Fast Food,-6.88,Posted
2023-02-21,"Walmart","Wal-Mart Super Center    EAST RIDGE   TN",Shopping,-6.01,Posted
2023-02-21,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.78,Posted
2023-02-21,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-21,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-21,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.75,Posted
2023-02-21,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.11,Posted
2023-02-17,"Bank of America Transfer","BANK OF AMERICA  ONLINE PMT ***********1POS",Transfer,-60.00,Posted
2023-02-17,"Dos Bros East Ridge East Ridge Tn","SQ *DOS BROS EAST RIDGE  EAST RIDGE   TN",Fast Food,-11.96,Posted
2023-02-17,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-8.32,Posted
2023-02-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.23,Posted
2023-02-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.38,Posted
2023-02-16,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-800.00,Posted
2023-02-16,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-750.00,Posted
2023-02-16,"USAA Insurance Payment","USAA INSURANCE PAYMENT",Financial,-191.68,Posted
2023-02-16,"Speedway","Speedway2920 Decatur PikeATHENS       TN",Gas,-37.34,Posted
2023-02-16,"Walmart","Wal-Mart Super Center    CHATTANOOGA  TN",Shopping,-4.41,Posted
2023-02-16,"Internationa Payroll","HBD INTERNATIONA PAYROLL    ***********009X",Paycheck,1409.00,Posted
2023-02-16,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********3AAK",Paycheck,779.51,Posted
2023-02-15,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-31.53,Posted
2023-02-15,"UPS","THE UPS STORE 1995       423-4994440  TN",Shipping,-6.00,Posted
2023-02-14,"Walmart","Wal-Mart Super Center    EAST RIDGE   TN",Shopping,-7.46,Posted
2023-02-13,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-30.00,Posted
2023-02-13,"Walmart","WM SUPERC Wal-Mart Sup   EAST RIDGE   TN",Shopping,-14.70,Posted
2023-02-13,"Walmart","WAL-MART #5251           CHATTANOOGA  TN",Shopping,-13.11,Posted
2023-02-13,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-8.38,Posted
2023-02-13,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-13,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.50,Posted
2023-02-13,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.25,Posted
2023-02-10,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2023-02-10,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-69.31,Posted
2023-02-10,"Walmart","WM SUPERC Wal-Mart Sup   CHATTANOOGA  TN",Shopping,-44.49,Posted
2023-02-09,"Dos Bros East Ridge East Ridge Tn","SQ *DOS BROS EAST RIDGE  EAST RIDGE   TN",Fast Food,-25.40,Posted
2023-02-09,"Joe's Kwik Marts","JOE'S KWIK MARTS #0981742CHATTANOOGA  TN",Gas,-4.87,Posted
2023-02-09,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********8AAK",Paycheck,457.25,Posted
2023-02-08,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-33.56,Posted
2023-02-08,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-30.31,Posted
2023-02-08,"Walgreens","WALGREENS STORE 5301 RINGEAST RIDGE   TN",Pharmacy,-7.48,Posted
2023-02-07,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-135.00,Posted
2023-02-07,"Great Plains Beef","GREAT PLAINS BEEF        402-479-2171 NE",Shopping,-106.23,Posted
2023-02-07,"Walmart","WM SUPERC Wal-Mart Sup   ATHENS       TN",Shopping,-11.97,Posted
2023-02-06,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-34.81,Posted
2023-02-06,"Dosbros Shallowford Chattanooga Tn","SQ *DOSBROS SHALLOWFORD  CHATTANOOGA  TN",Fast Food,-12.45,Posted
2023-02-06,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-7.83,Posted
2023-02-06,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-7.09,Posted
2023-02-06,"Smoothie King","LEVELUPSMOOTHIEKING00    855-466-5585 MA",Fast Food,-7.08,Posted
2023-02-06,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-5.09,Posted
2023-02-06,"Joe's Kwik Marts","JOE'S KWIK MARTS #0981742CHATTANOOGA  TN",Gas,-4.65,Posted
2023-02-06,"Walmart","WAL-MART #1469           CHATTANOOGA  TN",Shopping,-4.50,Posted
2023-02-06,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-06,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-06,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.90,Posted
2023-02-03,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-38.49,Posted
2023-02-03,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-5.74,Posted
2023-02-03,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.33,Posted
2023-02-02,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-1000.00,Posted
2023-02-02,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-250.00,Posted
2023-02-02,"Smoothie King","LEVELUPSMOOTHIEKING27    855-466-5585 MA",Fast Food,-7.08,Posted
2023-02-02,"Internationa Payroll","HBD INTERNATIONA PAYROLL    ***********017X",Paycheck,1344.00,Posted
2023-02-02,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********5AAK",Paycheck,400.34,Posted
2023-02-01,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-83.65,Posted
2023-02-01,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-17.37,Posted
2023-02-01,"Trader Joe's","TRADER JOE'S #787 QPS    CHATTANOOGA  TN",Groceries,-8.72,Posted
2023-01-31,"Valvoline","VIOC 0400564202 RINGGOLD EAST RIDGE   TN",Service & Parts,-80.83,Posted
2023-01-31,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-8.76,Posted
2023-01-31,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-01-31,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-01-30,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-56.35,Posted
2023-01-30,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-50.00,Posted
2023-01-30,"Food Lion","FOOD LION #0634 4340 R   EAST RIDGE   TN",Groceries,-5.30,Posted
2023-01-30,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.65,Posted
2023-01-30,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.24,Posted
2023-01-30,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.99,Posted
2023-01-30,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.38,Posted
2023-01-30,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.19,Posted
2023-01-27,"Food Lion","FOOD LION #0634 4340 R   EAST RIDGE   TN",Groceries,-16.97,Posted
2023-01-27,"Walgreens","WALGREENS #3537          EAST RIDGE   TN",Pharmacy,-11.97,Posted
2023-01-27,"Speedway","Speedway4222 Ringgold Rd EAST RIDGE   TN",Gas,-10.16,Posted
2023-01-26,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-450.00,Posted
2023-01-26,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-6.01,Posted
2023-01-26,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********8AAK",Paycheck,688.48,Posted
2023-01-25,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-1.42,Posted
2023-01-24,"1st Financial","1ST FINANCIAL    ONLINE PMT ***********1POS",Financial,-110.00,Posted
2023-01-24,"Burger King","BURGER KING #21300       CHATTANOOGA  TN",Fast Food,-11.68,Posted
2023-01-24,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-9.66,Posted
2023-01-23,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-78.61,Posted
2023-01-23,"Walmart","WM SUPERCENTER #1469Wal-MCHATTANOOGA  TN",Shopping,-52.09,Posted
2023-01-23,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-50.00,Posted
2023-01-23,"Speedway","Speedway  4222 Ringgol   EAST RIDGE   TN",Gas,-6.61,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.45,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.92,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.60,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.99,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.99,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.75,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.75,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.54,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.80,Posted
2023-01-23,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.80,Posted
2023-01-19,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-400.00,Posted
2023-01-19,"USAA Insurance Payment","USAA INSURANCE PAYMENT",Financial,-191.68,Posted
2023-01-19,"Walmart","WM SUPERC Wal-Mart Sup   EAST RIDGE   TN",Shopping,-32.47,Posted
2023-01-19,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-11.08,Posted
2023-01-19,"Speedway","Speedway  2920 Decatur   ATHENS       TN",Gas,-4.85,Posted
2023-01-19,"Food Lion","FOOD LION #0634 4340 R   EAST RIDGE   TN",Groceries,-4.77,Posted
2023-01-19,"Walmart","WM SUPERC Wal-Mart Sup   CHATTANOOGA  TN",Shopping,-3.25,Posted
2023-01-19,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-1.42,Posted
2023-01-19,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-0.99,Posted
2023-01-19,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********4AAK",Paycheck,620.20,Posted
2023-01-19,"Internationa Payroll","HBD INTERNATIONA PAYROLL    ***********240X",Paycheck,481.00,Posted
2023-01-18,"Murphy USA","MURPHY EXPRESS           CHATTANOOGA  TN",Gas,-37.07,Posted
2023-01-18,"365 Retail Markets","365 MARKET 888 432-3299  TROY         MI",Fast Food,-3.86,Posted
2023-01-17,"Bank of America Transfer","BANK OF AMERICA  ONLINE PMT ***********1POS",Transfer,-55.00,Posted
2023-01-17,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-110.16,Posted
2023-01-17,"Target","TARGET        00013029   CHATTANOOGA  TN",Shopping,-45.50,Posted
2023-01-17,"Waffle House","WAFFLE HOUSE 0123        EAST RIDGE   TN",Restaurants,-28.05,Posted
2023-01-17,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-25.00,Posted
2023-01-17,"Speedway","Speedway4222 Ringgold Rd EAST RIDGE   TN",Gas,-15.89,Posted
2023-01-17,"Speedway","Speedway4222 Ringgold Rd EAST RIDGE   TN",Gas,-15.04,Posted
2023-01-17,"Dosbros Shallowford Chattanooga Tn","SQ *DOSBROS SHALLOWFORD  CHATTANOOGA  TN",Fast Food,-13.11,Posted
2023-01-17,"Walgreens","WALGREENS STORE 5301 RINGEAST RIDGE   TN",Pharmacy,-7.89,Posted
2023-01-17,"Smoothie King","LEVELUPSMOOTHIEKING42    855-466-5585 MA",Fast Food,-6.76,Posted
2023-01-17,"Smoothie King","LEVELUPSMOOTHIEKING80    855-466-5585 MA",Fast Food,-6.54,Posted
2023-01-17,"Smoothie King","LEVELUPSMOOTHIEKING02    855-466-5585 MA",Fast Food,-6.43,Posted
2023-01-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-6.04,Posted
2023-01-17,"Walgreens","WALGREENS STORE 5301 RINGEAST RIDGE   TN",Pharmacy,-5.46,Posted
2023-01-17,"Trader Joe's","TRADER JOE'S #787 QPS    CHATTANOOGA  TN",Groceries,-5.40,Posted
2023-01-17,"Food City","FOOD CITY #735           CHATTANOOGA  TN",Groceries,-4.73,Posted
2023-01-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.60,Posted
2023-01-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.96,Posted
2023-01-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.96,Posted
2023-01-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.91,Posted
2023-01-17,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.74,Posted
2023-01-13,"Smoothie King","LEVELUPSMOOTHIEKING36    855-466-5585 MA",Fast Food,-6.11,Posted
2023-01-13,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.74,Posted
2023-01-13,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.34,Posted
2023-01-12,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-700.00,Posted
2023-01-12,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.45,Posted
2023-01-12,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********7AAK",Paycheck,1144.12,Posted
2023-01-11,"Speedway","Speedway2920 Decatur PikeATHENS       TN",Gas,-27.01,Posted
2023-01-10,"Walmart","WM SUPERC Wal-Mart Sup   ATHENS       TN",Shopping,-29.12,Posted
2023-01-10,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-25.31,Posted
2023-01-10,"Smoothie King","LEVELUPSMOOTHIEKING51    855-466-5585 MA",Fast Food,-13.48,Posted
2023-01-09,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2023-01-09,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-39.81,Posted
2023-01-09,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.07,Posted
2023-01-09,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.28,Posted
2023-01-09,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.11,Posted
2023-01-09,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.11,Posted
2023-01-09,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.06,Posted
2023-01-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-800.00,Posted
2023-01-05,"Walmart","WM SUPERC Wal-Mart Sup   CHATTANOOGA  TN",Shopping,-15.20,Posted
2023-01-05,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-5.73,Posted
2023-01-05,"Amazon","AMAZON.COM SVCS  DIRECT DEP ***********8AAK",Paycheck,610.78,Posted
2023-01-05,"Internationa Payroll","HBD INTERNATIONA PAYROLL    ***********485X",Paycheck,486.00,Posted
2023-01-04,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-4.13,Posted
2023-01-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-240.00,Posted
2023-01-03,"Walmart","Wal-Mart Super Center1469CHATTANOOGA  TN",Shopping,-58.40,Posted
2023-01-03,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-57.22,Posted
2023-01-03,"Georgia Winery","GEORGIA WINERY           RINGGOLD     GA",Alcohol & Bars,-36.21,Posted
2023-01-03,"Walgreens","WALGREENS STORE 3508 RINGEAST RIDGE   TN",Pharmacy,-13.95,Posted
2023-01-03,"Walmart","WAL-MART #1469           CHATTANOOGA  TN",Shopping,-9.16,Posted
2023-01-03,"Smoothie King","LEVELUPSMOOTHIEKING80    855-466-5585 MA",Fast Food,-6.76,Posted
2023-01-03,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-6.37,Posted
2023-01-03,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.50,Posted
2023-01-03,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.74,Posted
